户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
1室1厅,中楼层/共10层,60.6平米,平层/简装,308.0,泰河园一里一区,亦庄开发区,房屋朝向,配备电梯,"2023年06月21日
                                                                            ","普通住宅
                                                                            ",50826
2室1厅,高楼层/共25层,108.33平米,平层/精装,577.0,一幅画卷,亦庄开发区,房屋朝向,配备电梯,"2023年12月22日
                                                                            ","普通住宅
                                                                            ",53264
1室1厅,低楼层/共24层,60平米,平层/其他,290.0,博客雅居,亦庄开发区,房屋朝向,配备电梯,"2023年05月04日
                                                                            ","公寓
                                                                            ",48334
1室1厅,高楼层/共21层,32.89平米,复式/其他,195.0,国融国际,亦庄开发区,房屋朝向,配备电梯,"2023年04月19日
                                                                            ","公寓
                                                                            ",59289
2室2厅,高楼层/共21层,42.91平米,复式/精装,232.0,国融国际,亦庄开发区,房屋朝向,配备电梯,"2023年04月01日
                                                                            ","公寓
                                                                            ",54067
1室1厅,中楼层/共23层,53.06平米,平层/精装,187.0,国融国际,亦庄开发区,房屋朝向,配备电梯,"2023年03月22日
                                                                            ","公寓
                                                                            ",35244
1室1厅,高楼层/共24层,59.24平米,平层/简装,308.0,博客雅居,亦庄开发区,房屋朝向,配备电梯,"2023年03月05日
                                                                            ","公寓
                                                                            ",51992
2室1厅,低楼层/共23层,82.79平米,平层/精装,272.0,力宝广场,亦庄开发区,房屋朝向,配备电梯,"2023年03月02日
                                                                            ","公寓
                                                                            ",32855
2室1厅,中楼层/共8层,82.33平米,平层/简装,470.0,听涛雅苑,亦庄开发区,房屋朝向,配备电梯,"2023年02月11日
                                                                            ","普通住宅
                                                                            ",57088
5室2厅,底层/共4层,273.4平米,跃层/精装,2735.0,紫禁壹号院北院,亦庄开发区,房屋朝向,配备电梯,"2022年11月04日
                                                                            ","普通住宅
                                                                            ",100037
1室1厅,低楼层/共19层,48.83平米,平层/精装,95.0,锋创科技园,亦庄开发区,房屋朝向,配备电梯,"2023年12月27日
                                                                            ","商业办公类
                                                                            ",19456
2室2厅,高楼层/共24层,68.61平米,平层/精装,230.0,林肯公园,亦庄开发区,房屋朝向,配备电梯,"2023年12月23日
                                                                            ","商业办公类
                                                                            ",33523
1室1厅,高楼层/共24层,36.19平米,平层/其他,130.0,林肯公园,亦庄开发区,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","商业办公类
                                                                            ",35922
2室1厅,高楼层/共24层,70.4平米,平层/其他,248.0,林肯公园,亦庄开发区,房屋朝向,配备电梯,"2023年12月15日
                                                                            ","商业办公类
                                                                            ",35228
1室0厅,中楼层/共27层,45.02平米,平层/精装,108.0,荣京丽都,亦庄开发区,房屋朝向,配备电梯,"2023年12月22日
                                                                            ","商业办公类
                                                                            ",23990
1室1厅,高楼层/共15层,55.5平米,平层/其他,105.0,锋创科技园,亦庄开发区,房屋朝向,配备电梯,"2023年12月14日
                                                                            ","商业办公类
                                                                            ",18919
2室2厅,中楼层/共21层,121.98平米,平层/精装,410.0,林肯公园C区,亦庄开发区,房屋朝向,配备电梯,"2023年12月09日
                                                                            ","商业办公类
                                                                            ",33613
2室2厅,中楼层/共24层,67.48平米,平层/精装,248.0,林肯公园,亦庄开发区,房屋朝向,配备电梯,"2023年11月23日
                                                                            ","商业办公类
                                                                            ",36752
1室1厅,中楼层/共19层,55.23平米,平层/精装,104.0,锋创科技园,亦庄开发区,房屋朝向,配备电梯,"2023年10月18日
                                                                            ","商业办公类
                                                                            ",18831
2室2厅,低楼层/共27层,104.3平米,平层/精装,335.0,国锐金嵿,亦庄开发区,房屋朝向,配备电梯,"2023年11月15日
                                                                            ","商业办公类
                                                                            ",32119
2室1厅,高楼层/共21层,53.78平米,跃层/简装,155.0,荣京丽都,亦庄开发区,房屋朝向,配备电梯,"2023年10月11日
                                                                            ","商业办公类
                                                                            ",28822
2室1厅,高楼层/共22层,123.35平米,平层/其他,378.0,林肯公园B区,亦庄开发区,房屋朝向,配备电梯,"2023年10月04日
                                                                            ","商业办公类
                                                                            ",30645
2室1厅,中楼层/共19层,96.4平米,平层/精装,308.0,林肯公园A区,亦庄开发区,房屋朝向,配备电梯,"2023年09月27日
                                                                            ","商业办公类
                                                                            ",31951
1室1厅,中楼层/共24层,49.02平米,平层/精装,160.0,林肯公园,亦庄开发区,房屋朝向,配备电梯,"2023年09月08日
                                                                            ","商业办公类
                                                                            ",32640
2室2厅,低楼层/共12层,68.06平米,跃层/精装,318.0,林肯公寓,亦庄开发区,房屋朝向,配备电梯,"2023年09月08日
                                                                            ","商业办公类
                                                                            ",46724
1室1厅,中楼层/共24层,49.62平米,平层/精装,170.0,林肯公园,亦庄开发区,房屋朝向,配备电梯,"2023年08月15日
                                                                            ","商业办公类
                                                                            ",34261
3室2厅,高楼层/共11层,77.81平米,复式/精装,390.0,林肯公寓,亦庄开发区,房屋朝向,配备电梯,"2023年07月05日
                                                                            ","商业办公类
                                                                            ",50123
1室1厅,高楼层/共19层,37.77平米,复式/其他,150.0,北京经开尚庭,亦庄开发区,房屋朝向,配备电梯,"2023年06月28日
                                                                            ","商业办公类
                                                                            ",39715
2室1厅,低楼层/共22层,122.02平米,平层/精装,410.0,林肯公园B区,亦庄开发区,房屋朝向,配备电梯,"2023年06月19日
                                                                            ","商业办公类
                                                                            ",33602
1室1厅,低楼层/共24层,55.3平米,平层/简装,185.5,林肯公园,亦庄开发区,房屋朝向,配备电梯,"2023年05月23日
                                                                            ","商业办公类
                                                                            ",33545
1室1厅,中楼层/共21层,45.36平米,暂无数据/其他,140.0,荣京丽都,亦庄开发区,房屋朝向,配备电梯,"2023年04月11日
                                                                            ","商业办公类
                                                                            ",30865
3室2厅,中楼层/共10层,73.4平米,复式/其他,325.0,林肯公寓,亦庄开发区,房屋朝向,配备电梯,"2023年08月16日
                                                                            ","商业办公类
                                                                            ",44278
2室1厅,低楼层/共9层,58.8平米,复式/精装,245.0,林肯公寓,亦庄开发区,房屋朝向,配备电梯,"2023年02月09日
                                                                            ","商业办公类
                                                                            ",41667
2室1厅,低楼层/共22层,119.78平米,平层/其他,360.0,林肯公园B区,亦庄开发区,房屋朝向,配备电梯,"2023年03月11日
                                                                            ","商业办公类
                                                                            ",30056
3室1厅,低楼层/共22层,213.9平米,复式/精装,750.0,国锐金嵿,亦庄开发区,房屋朝向,配备电梯,"2022年11月05日
                                                                            ","商业办公类
                                                                            ",35064
2室2厅,底层/共6层,102.42平米,平层/精装,530.0,新康家园,亦庄开发区,房屋朝向,,"2023年12月31日
                                                                            ","普通住宅
                                                                            ",51748
2室2厅,顶层/共6层,87.29平米,平层/其他,430.0,贵园北里甲区,亦庄开发区,房屋朝向,,"2023年12月30日
                                                                            ","普通住宅
                                                                            ",49262
2室1厅,中楼层/共16层,75.75平米,平层/其他,248.0,南海雅苑南区,亦庄开发区,房屋朝向,配备电梯,"2023年12月29日
                                                                            ","普通住宅
                                                                            ",32740
1室1厅,中楼层/共6层,59.88平米,平层/其他,345.0,贵园南里丙区,亦庄开发区,房屋朝向,,"2023年12月30日
                                                                            ","普通住宅
                                                                            ",57616
1室1厅,顶层/共18层,59.13平米,平层/精装,190.0,次渠南里九区,亦庄开发区,房屋朝向,配备电梯,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",32133
2室1厅,高楼层/共18层,86.99平米,平层/其他,618.0,中信新城东区,亦庄开发区,房屋朝向,配备电梯,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",71043
2室2厅,中楼层/共6层,86.84平米,平层/简装,525.0,天宝家园,亦庄开发区,房屋朝向,,"2023年12月24日
                                                                            ","普通住宅
                                                                            ",60457
1室1厅,中楼层/共6层,58.73平米,平层/其他,345.0,贵园北里戊区,亦庄开发区,房屋朝向,,"2023年12月23日
                                                                            ","普通住宅
                                                                            ",58744
3室2厅,底层/共11层,112.47平米,平层/其他,528.0,泰河园七里,亦庄开发区,房屋朝向,配备电梯,"2023年12月23日
                                                                            ","普通住宅
                                                                            ",46946
