户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
2室1厅,底层/共6层,52.29,平层/毛坯,205,五里店,丰台,无,2023年11月30日,普通住宅,39205
2室1厅,中楼层/共21层,79.67,平层/精装,710,保利百合,丰台,配备电梯,2023年11月30日,普通住宅,89118
2室1厅,中楼层/共14层,60.5,平层/简装,315,海户西里,丰台,配备电梯,2023年11月29日,普通住宅,52067
2室1厅,低楼层/共6层,65.94,平层/毛坯,430,太平桥东里,丰台,无,2023年11月27日,普通住宅,65211
2室1厅,高楼层/共28层,89.12,平层/简装,419,丰体时代花园,丰台,配备电梯,2023年11月29日,普通住宅,47016
2室1厅,低楼层/共18层,65.72,平层/简装,349,春园,丰台,配备电梯,2023年11月29日,普通住宅,53105
2室1厅,中楼层/共22层,129.11,平层/精装,839,怡海花园恒丰园,丰台,配备电梯,2023年11月29日,普通住宅,64984
3室1厅,中楼层/共6层,64.4,平层/精装,300,大井北里,丰台,无,2023年11月28日,普通住宅,46584
3室1厅,中楼层/共6层,64.5,平层/简装,193,张郭庄小区,丰台,无,2023年11月27日,普通住宅,29923
3室2厅,中楼层/共9层,134.15,平层/精装,990,万科中粮假日风景,丰台,配备电梯,2023年12月09日,普通住宅,73798
2室1厅,中楼层/共6层,53.25,平层/精装,209,卢沟桥南里,丰台,无,2023年11月26日,普通住宅,39249
2室1厅,高楼层/共20层,72.74,平层/精装,450,首经贸中街1号院,丰台,配备电梯,2023年12月02日,普通住宅,61865
2室1厅,低楼层/共6层,63.95,平层/精装,329,南华小区,丰台,无,2023年12月02日,普通住宅,51447
3室1厅,高楼层/共22层,107.44,平层/简装,628,盛鑫嘉园,丰台,配备电梯,2023年11月30日,普通住宅,58452
2室1厅,高楼层/共6层,54.39,平层/简装,315,玉林东里三区,丰台,无,2023年11月26日,普通住宅,57916
2室1厅,中楼层/共19层,83.9,平层/精装,580,新方向家园,丰台,配备电梯,2023年12月02日,普通住宅,69130
2室1厅,中楼层/共6层,62.8,平层/精装,289,南顶小区,丰台,无,2023年11月30日,普通住宅,46020
2室1厅,底层/共15层,89.99,平层/简装,510,鸿业兴园二区,丰台,配备电梯,2023年11月25日,普通住宅,56673
2室1厅,中楼层/共9层,98.2,平层/精装,709,万科中粮假日风景,丰台,配备电梯,2023年11月27日,普通住宅,72200
